Site,Product,Years,Year_Count,N,N_CATEGORY,N_SUFFICIENT,Start,End,RMSE,MAE,BIAS,ABS_BIAS,CORRELATION,R2,METRIC_SOURCE
KKM,ERA5-LAND,2016,1,366,STRONG,True,2016-01-01,2016-12-31,0.8944921597154282,0.644633605742889,0.1655420052909314,0.1655420052909314,0.745098787053987,0.5551722024693228,POOLED_RAW_EXTRACTIONS
KKM,FLDAS,2016,1,12,ADEQUATE,True,2016-01-01,2016-12-01,1.5309463912149148,1.3661890015413303,1.323035339063777,1.323035339063777,0.7945078218008467,0.6312426789027259,POOLED_RAW_EXTRACTIONS
KKM,GLDAS,2016,1,366,STRONG,True,2016-01-01,2016-12-31,1.5731600643517119,1.2266821788687405,-1.1380582364286786,1.1380582364286786,0.6143445609663915,0.37741923958898826,POOLED_RAW_EXTRACTIONS
KKM,MERRA2,2016,1,366,STRONG,True,2016-01-01,2016-12-31,1.0692936512622344,0.7628559860628031,0.09353655151221434,0.09353655151221434,0.7726824537924702,0.597038174398753,POOLED_RAW_EXTRACTIONS
KKM,MOD16A2GF,2016,1,46,STRONG,True,2016-01-01,2016-12-26,12.613021705469396,10.297201110547345,9.918193146350413,9.918193146350413,0.7465416296677174,0.5573244048269314,POOLED_RAW_EXTRACTIONS
KKM,PMLV2,2016,1,46,STRONG,True,2016-01-01,2016-12-26,1.3554963446954669,1.0244289895951133,-0.0374721116251066,0.0374721116251066,0.5444349592275046,0.29640942482905464,POOLED_RAW_EXTRACTIONS
KKM,SSEBOP_V61,"2014,2015,2016",3,35,STRONG,True,2014-02-01,2016-12-01,37.17405837083976,33.63314067228571,18.230642675314286,18.230642675314286,0.36297523192600845,0.13175101899173963,POOLED_RAW_EXTRACTIONS
KNP,ERA5-LAND,2016,1,366,STRONG,True,2016-01-01,2016-12-31,0.8565687825617306,0.6902435583596471,-0.046996359222361554,0.046996359222361554,0.794004468793667,0.6304430964643134,POOLED_RAW_EXTRACTIONS
KNP,FLDAS,2016,1,12,ADEQUATE,True,2016-01-01,2016-12-01,1.837601758824413,1.223547613789066,0.9368609279595844,0.9368609279595844,0.4361927181646243,0.19026408737984335,POOLED_RAW_EXTRACTIONS
KNP,GLDAS,2016,1,366,STRONG,True,2016-01-01,2016-12-31,1.2982164165047039,1.0784651017011953,0.5584051560764582,0.5584051560764582,0.7013458393000299,0.49188598630346336,POOLED_RAW_EXTRACTIONS
KNP,MERRA2,2016,1,366,STRONG,True,2016-01-01,2016-12-31,1.4793719137095462,1.0882007541557572,0.5234824847955453,0.5234824847955453,0.5323061453772191,0.2833498324063531,POOLED_RAW_EXTRACTIONS
KNP,MOD16A2GF,2016,1,46,STRONG,True,2016-01-01,2016-12-26,18.8993301111333,16.967415334502135,16.967415334502135,16.967415334502135,0.48964707069709273,0.23975425384224372,POOLED_RAW_EXTRACTIONS
KNP,PMLV2,2016,1,46,STRONG,True,2016-01-01,2016-12-26,1.4342935236447971,1.102945739455021,-0.7685686122776056,0.7685686122776056,0.6502230803859992,0.42279005426665756,POOLED_RAW_EXTRACTIONS
NIT,ERA5-LAND,2016,1,160,STRONG,True,2016-06-22,2016-11-28,0.9695725762656983,0.7937121053809362,-0.36821490771539717,0.36821490771539717,0.6483885465926831,0.42040770735257194,POOLED_RAW_EXTRACTIONS
NIT,FLDAS,2016,1,5,LIMITED,False,2016-07-01,2016-11-01,1.2438471482022904,1.2223228511686814,0.7063358230856478,0.7063358230856478,0.7415243311687005,0.5498583337151887,POOLED_RAW_EXTRACTIONS
NIT,GLDAS,2016,1,160,STRONG,True,2016-06-22,2016-11-28,1.2594195651194915,1.0184601062231677,-0.8355692679593139,0.8355692679593139,0.5951370377963578,0.3541880937570235,POOLED_RAW_EXTRACTIONS
NIT,MERRA2,2016,1,160,STRONG,True,2016-06-22,2016-11-28,1.1984587615754496,0.9849975102779063,-0.3883462463053188,0.3883462463053188,0.6573444513096541,0.43210172766759025,POOLED_RAW_EXTRACTIONS
NIT,MOD16A2GF,2016,1,20,ADEQUATE,True,2016-06-25,2016-11-24,16.57476350467631,14.169781085486239,14.169781085486239,14.169781085486239,0.6568600202530163,0.4314650862067929,POOLED_RAW_EXTRACTIONS
NIT,PMLV2,2016,1,20,ADEQUATE,True,2016-06-25,2016-11-24,1.2427732731168974,1.0360521959519005,-0.8593339244070073,0.8593339244070073,0.6380013247265185,0.4070456903527925,POOLED_RAW_EXTRACTIONS
SFT,ERA5-LAND,2016,1,91,STRONG,True,2016-01-01,2016-03-31,1.2077166843090283,0.9718462297430855,-0.3399339743743889,0.3399339743743889,0.04733168298535081,0.002240288214225747,POOLED_RAW_EXTRACTIONS
SFT,FLDAS,2016,1,3,INSUFFICIENT,False,2016-01-01,2016-03-01,0.9615862784300587,0.9025476075356132,-0.9025476075356132,0.9025476075356132,0.88804130617228,0.7886173614681693,POOLED_RAW_EXTRACTIONS
SFT,GLDAS,2016,1,91,STRONG,True,2016-01-01,2016-03-31,1.0290785688403978,0.7918359039469874,-0.4712864455608204,0.4712864455608204,-0.07583322356109519,0.005750677795667043,POOLED_RAW_EXTRACTIONS
SFT,MERRA2,2016,1,91,STRONG,True,2016-01-01,2016-03-31,1.5033428695355049,1.2781339995669636,-0.8919234950950766,0.8919234950950766,0.12296988677491003,0.015121593053434192,POOLED_RAW_EXTRACTIONS
SFT,PMLV2,2016,1,12,ADEQUATE,True,2016-01-01,2016-03-29,1.4975240768247322,1.0471626567112486,-0.14404977395556517,0.14404977395556517,-0.027752514451434316,0.0007702020583770705,POOLED_RAW_EXTRACTIONS
SIT,ERA5-LAND,2016,1,10,ADEQUATE,True,2016-06-17,2016-12-31,0.5098685859311499,0.4736755872746494,0.4190149743230777,0.4190149743230777,0.9775189799344296,0.9555433561320478,POOLED_RAW_EXTRACTIONS
SIT,GLDAS,2016,1,10,ADEQUATE,True,2016-06-17,2016-12-31,0.7409452969828532,0.6962506645002993,0.2698776859328846,0.2698776859328846,0.9158478624352268,0.838777307127174,POOLED_RAW_EXTRACTIONS
SIT,MERRA2,2016,1,10,ADEQUATE,True,2016-06-17,2016-12-31,0.8180984486399367,0.6120104379939826,-0.1952516325418528,0.1952516325418528,0.8964100062005007,0.8035508992163817,POOLED_RAW_EXTRACTIONS
SIT,MOD16A2GF,2016,1,2,INSUFFICIENT,False,2016-06-17,2016-12-26,5.090108857315132,4.762583365671837,4.762583365671837,4.762583365671837,1.0,1.0,POOLED_RAW_EXTRACTIONS
SIT,PMLV2,2016,1,2,INSUFFICIENT,False,2016-06-17,2016-12-26,0.05132142182384691,0.051290988333333315,-0.051290988333333315,0.051290988333333315,1.0,1.0,POOLED_RAW_EXTRACTIONS
SIT,SSEBOP_V61,"2017,2018",2,16,ADEQUATE,True,2017-07-01,2018-10-01,27.30643349087205,23.0814975089375,-10.406464984812501,10.406464984812501,0.6002576489582637,0.3603092451329022,POOLED_RAW_EXTRACTIONS
UIT,ERA5-LAND,2016,1,366,STRONG,True,2016-01-01,2016-12-31,1.964538216293517,1.3809348576948481,-1.2339584559065524,1.2339584559065524,0.48050476868468817,0.23088483272872568,POOLED_RAW_EXTRACTIONS
UIT,FLDAS,2016,1,12,ADEQUATE,True,2016-01-01,2016-12-01,2.2662771071196524,1.5657807660157204,-1.1828543169095111,1.1828543169095111,0.32624205585279004,0.10643387900705498,POOLED_RAW_EXTRACTIONS
UIT,GLDAS,2016,1,366,STRONG,True,2016-01-01,2016-12-31,2.5251837162616537,1.9506152126812555,-1.8729561669901595,1.8729561669901595,0.35660506596437674,0.1271671730714575,POOLED_RAW_EXTRACTIONS
UIT,MERRA2,2016,1,366,STRONG,True,2016-01-01,2016-12-31,2.2007366630346707,1.700763330399901,-1.198413700707175,1.198413700707175,0.48671636015286174,0.23689281524045022,POOLED_RAW_EXTRACTIONS
UIT,MOD16A2GF,2016,1,46,STRONG,True,2016-01-01,2016-12-26,5.256510525986832,3.9603721225374757,1.651648186919416,1.651648186919416,0.15985215137484712,0.025552710299167038,POOLED_RAW_EXTRACTIONS
UIT,PMLV2,2016,1,46,STRONG,True,2016-01-01,2016-12-26,2.104779578742631,1.6023526650683224,-1.5497548988681624,1.5497548988681624,0.5849868826273115,0.3422096528460199,POOLED_RAW_EXTRACTIONS
UIT,SSEBOP_V61,"2016,2017",2,24,ADEQUATE,True,2016-01-01,2017-12-01,65.9554363641383,53.161000325833335,-52.931769379083335,52.931769379083335,0.4167471953436704,0.17367822482681536,POOLED_RAW_EXTRACTIONS
