Site,Product,Years,Year_Count,N,N_CATEGORY,N_SUFFICIENT,Start,End,RMSE,MAE,BIAS,ABS_BIAS,CORRELATION,R2,METRIC_SOURCE,QC_STATUS
DIT,ERA5-LAND,"2016,2017",2,731,STRONG,True,2016-01-01,2017-12-31,0.9448711805222888,0.7546043981555327,-0.30101020739930273,0.30101020739930273,0.7275672826113208,0.5293541507264214,POOLED_RAW_EXTRACTIONS,PRIMARY
DIT,FLDAS,"2016,2017",2,24,ADEQUATE,True,2016-01-01,2017-12-01,1.1969730558987646,0.971233370208052,-0.8764848166498406,0.8764848166498406,0.8502337092360601,0.7228973603213092,POOLED_RAW_EXTRACTIONS,PRIMARY
DIT,GLDAS,"2016,2017",2,731,STRONG,True,2016-01-01,2017-12-31,1.0919848690151894,0.828307116035153,0.03606212813714692,0.03606212813714692,0.6681656437217577,0.44644532745011084,POOLED_RAW_EXTRACTIONS,PRIMARY
DIT,MERRA2,"2016,2017",2,731,STRONG,True,2016-01-01,2017-12-31,1.141757450331345,0.948762355721126,-0.497143979117646,0.497143979117646,0.7846209983013125,0.6156301109753483,POOLED_RAW_EXTRACTIONS,PRIMARY
DIT,MOD16A2GF,"2016,2017",2,92,STRONG,True,2016-01-01,2017-12-27,15.12425338178868,11.775218284941898,11.758743159236563,11.758743159236563,0.6696991224957962,0.4484969146716395,POOLED_RAW_EXTRACTIONS,PRIMARY
DIT,PMLV2,"2016,2017",2,92,STRONG,True,2016-01-01,2017-12-27,1.1418194218322237,0.8852357160989738,-0.517562548347556,0.517562548347556,0.5763904917201411,0.33222599894538607,POOLED_RAW_EXTRACTIONS,PRIMARY
JIT,ERA5-LAND,"2016,2017,2018",3,740,STRONG,True,2016-06-21,2018-10-11,1.0254711019071523,0.6616156816420021,-0.3172342023568907,0.3172342023568907,0.5524677282691064,0.3052205907788272,POOLED_RAW_EXTRACTIONS,PRIMARY
JIT,FLDAS,"2016,2017,2018",3,24,ADEQUATE,True,2016-07-01,2018-10-01,1.2749045450615575,0.8851783978241669,-0.08597542566384146,0.08597542566384146,0.32848609160770986,0.10790311237970876,POOLED_RAW_EXTRACTIONS,PRIMARY
JIT,GLDAS,"2016,2017,2018",3,740,STRONG,True,2016-06-21,2018-10-11,1.0801467839742402,0.6894582577275419,-0.5783935937531046,0.5783935937531046,0.4291342951055917,0.18415624323577306,POOLED_RAW_EXTRACTIONS,PRIMARY
JIT,MERRA2,"2016,2017,2018",3,740,STRONG,True,2016-06-21,2018-10-11,0.9421806016834192,0.6373432537842774,0.07886976227480672,0.07886976227480672,0.5875688577095007,0.34523716255004755,POOLED_RAW_EXTRACTIONS,PRIMARY
JIT,MOD16A2GF,"2016,2017,2018",3,93,STRONG,True,2016-06-25,2018-10-08,1.2030258691027067,0.7517081258744687,0.03541026035758948,0.03541026035758948,0.45194341411093547,0.20425284955824852,POOLED_RAW_EXTRACTIONS,PRIMARY
JIT,PMLV2,"2016,2017,2018",3,93,STRONG,True,2016-06-25,2018-10-08,1.079468590808753,0.71933228768879,-0.38695138752564584,0.38695138752564584,0.5368778746185859,0.28823785225497006,POOLED_RAW_EXTRACTIONS,PRIMARY
JIT,SSEBOP_V61,"2016,2017,2018",3,23,ADEQUATE,True,2016-07-01,2018-09-01,22.686781791665922,18.07032977434783,-9.208994787130436,9.208994787130436,0.45252683881240463,0.20478053984554803,POOLED_RAW_EXTRACTIONS,PRIMARY
KKM,ERA5-LAND,"2014,2015,2016",3,1081,STRONG,True,2014-01-16,2016-12-31,0.8328392038232643,0.6141825708856608,0.13231926659239812,0.13231926659239812,0.7524124567495555,0.5661245050719017,POOLED_RAW_EXTRACTIONS,PRIMARY
KKM,FLDAS,"2014,2015,2016",3,35,STRONG,True,2014-02-01,2016-12-01,1.639548110838985,1.465113492639115,1.31353635649375,1.31353635649375,0.7032312331353265,0.494534167257032,POOLED_RAW_EXTRACTIONS,PRIMARY
KKM,GLDAS,"2014,2015,2016",3,1081,STRONG,True,2014-01-16,2016-12-31,1.4534672851151589,1.158143358483268,-1.1014059497139874,1.1014059497139874,0.6548922774269373,0.42888389503344065,POOLED_RAW_EXTRACTIONS,PRIMARY
KKM,MERRA2,"2014,2015,2016",3,1081,STRONG,True,2014-01-16,2016-12-31,1.1044850821398926,0.798339685007795,0.15324060813003604,0.15324060813003604,0.7533046485212145,0.5674678934836704,POOLED_RAW_EXTRACTIONS,PRIMARY
KKM,MOD16A2GF,"2014,2015,2016",3,136,STRONG,True,2014-01-17,2016-12-26,11.122313845962543,9.231423142571696,8.604679451013414,8.604679451013414,0.4216665322137022,0.17780266438912917,POOLED_RAW_EXTRACTIONS,PRIMARY
KKM,PMLV2,"2014,2015,2016",3,136,STRONG,True,2014-01-17,2016-12-26,1.156468604212639,0.845313459524661,0.01973399183401244,0.01973399183401244,0.599376809558723,0.35925255983679366,POOLED_RAW_EXTRACTIONS,PRIMARY
KKM,SSEBOP_V61,"2014,2015,2016",3,35,STRONG,True,2014-02-01,2016-12-01,37.17405837083976,33.63314067228571,18.230642675314286,18.230642675314286,0.36297523192600845,0.13175101899173963,POOLED_RAW_EXTRACTIONS,PRIMARY
KNP,ERA5-LAND,"2016,2017,2018",3,1027,STRONG,True,2016-01-01,2018-12-31,0.9333646323191488,0.7588610023215911,0.34953061494274196,0.34953061494274196,0.7611588716694767,0.5793628279211509,POOLED_RAW_EXTRACTIONS,PRIMARY
KNP,FLDAS,"2016,2017,2018",3,34,STRONG,True,2016-01-01,2018-12-01,1.8285768315248747,1.3832285999051361,1.282045063730025,1.282045063730025,0.5059765678420164,0.2560122872051866,POOLED_RAW_EXTRACTIONS,PRIMARY
KNP,GLDAS,"2016,2017,2018",3,1027,STRONG,True,2016-01-01,2018-12-31,1.4925319043481913,1.2306466650869827,0.9230876995278643,0.9230876995278643,0.6763649822555945,0.45746958922161063,POOLED_RAW_EXTRACTIONS,PRIMARY
KNP,MERRA2,"2016,2017,2018",3,1027,STRONG,True,2016-01-01,2018-12-31,1.601217761920593,1.2114265224671728,0.7588026201890439,0.7588026201890439,0.4935993840066851,0.24364035189177902,POOLED_RAW_EXTRACTIONS,PRIMARY
KNP,MOD16A2GF,"2016,2017,2018",3,130,STRONG,True,2016-01-01,2018-12-27,18.622636211906652,16.791705891765222,16.791705891765222,16.791705891765222,0.4664835748827014,0.2176069256353449,POOLED_RAW_EXTRACTIONS,PRIMARY
KNP,PMLV2,"2016,2017,2018",3,130,STRONG,True,2016-01-01,2018-12-27,1.239693141499793,0.8832161741723645,-0.4109301778266622,0.4109301778266622,0.5422386145011627,0.2940227150561406,POOLED_RAW_EXTRACTIONS,PRIMARY
NIT,ERA5-LAND,"2016,2017,2018",3,699,STRONG,True,2016-06-22,2018-11-09,1.3183114819226822,0.975792275762997,-0.584353624796841,0.584353624796841,0.6120920122197637,0.3746566314232394,POOLED_RAW_EXTRACTIONS,PRIMARY
NIT,FLDAS,"2016,2017,2018",3,23,ADEQUATE,True,2016-07-01,2018-11-01,1.3729824115363234,1.1719966892911935,-0.2370091432620205,0.2370091432620205,0.6999281233376693,0.4898993778389916,POOLED_RAW_EXTRACTIONS,PRIMARY
NIT,GLDAS,"2016,2017,2018",3,699,STRONG,True,2016-06-22,2018-11-09,1.4640996009153657,1.0954573855047454,-0.613959511240503,0.613959511240503,0.4963051191423333,0.24631877128688562,POOLED_RAW_EXTRACTIONS,PRIMARY
NIT,MERRA2,"2016,2017,2018",3,699,STRONG,True,2016-06-22,2018-11-09,1.611809294680431,1.323955566291712,-0.5895841210420285,0.5895841210420285,0.6323790747493192,0.39990329418080506,POOLED_RAW_EXTRACTIONS,PRIMARY
NIT,MOD16A2GF,"2016,2017,2018",3,88,STRONG,True,2016-06-25,2018-11-09,13.56798417700847,10.062879849174148,9.640008447432429,9.640008447432429,0.6519939882027642,0.42509616065254624,POOLED_RAW_EXTRACTIONS,PRIMARY
NIT,PMLV2,"2016,2017,2018",3,88,STRONG,True,2016-06-25,2018-11-09,1.2719280889567874,1.005779790634609,-0.590626781034145,0.590626781034145,0.6056067994727262,0.36675959556759885,POOLED_RAW_EXTRACTIONS,PRIMARY
PVM,MERRA2,2017,1,92,STRONG,True,2017-10-01,2017-12-31,2.6769233562342825,2.4453542550786747,2.42948883436552,2.42948883436552,0.14974285700500123,0.022422923224020244,POOLED_RAW_EXTRACTIONS,PRIMARY
PVM,MOD16A2GF,2017,1,11,ADEQUATE,True,2017-10-08,2017-12-27,20.440765065103832,20.20821387079591,20.20821387079591,20.20821387079591,0.05509758022173297,0.0030357433462903003,POOLED_RAW_EXTRACTIONS,PRIMARY
PVM,PMLV2,2017,1,11,ADEQUATE,True,2017-10-08,2017-12-27,1.2195922703095665,1.036023429825658,0.8748394097619019,0.8748394097619019,0.11346918796100769,0.012875256616530493,POOLED_RAW_EXTRACTIONS,PRIMARY
SFT,ERA5-LAND,"2014,2015,2016",3,821,STRONG,True,2014-01-01,2016-03-31,1.6367731099237741,1.21716308178781,-0.17209040730298114,0.17209040730298114,0.4080340429914303,0.1664917802399324,POOLED_RAW_EXTRACTIONS,PRIMARY
SFT,FLDAS,"2014,2015,2016",3,27,ADEQUATE,True,2014-01-01,2016-03-01,1.6665496455235382,1.1386270653181338,-0.2735595596908735,0.2735595596908735,0.5128351810690291,0.2629999229421039,POOLED_RAW_EXTRACTIONS,PRIMARY
SFT,GLDAS,"2014,2015,2016",3,821,STRONG,True,2014-01-01,2016-03-31,1.495800895808959,1.174845819245231,0.0602985096106328,0.0602985096106328,0.590930031802187,0.3491983024857337,POOLED_RAW_EXTRACTIONS,PRIMARY
SFT,MERRA2,"2014,2015,2016",3,821,STRONG,True,2014-01-01,2016-03-31,1.6217416366899244,1.2232772731310726,-0.5857902306273325,0.5857902306273325,0.5819872507561156,0.3387091600426617,POOLED_RAW_EXTRACTIONS,PRIMARY
SFT,PMLV2,"2014,2015,2016",3,104,STRONG,True,2014-01-01,2016-03-29,1.8647748714796262,1.2581465372072458,-0.7379924109997952,0.7379924109997952,0.32344859514068974,0.10461899369848582,POOLED_RAW_EXTRACTIONS,PRIMARY
SIT,ERA5-LAND,"2016,2017,2018",3,545,STRONG,True,2016-06-17,2018-11-09,1.0420024905881728,0.7759023386611017,0.09956777728817809,0.09956777728817809,0.6439709537533308,0.41469858927797454,POOLED_RAW_EXTRACTIONS,PRIMARY
SIT,FLDAS,"2017,2018",2,18,ADEQUATE,True,2017-01-01,2018-11-01,1.2827366713628547,1.041621000106426,0.47090430817321455,0.47090430817321455,0.66444036862907,0.4414810034639344,POOLED_RAW_EXTRACTIONS,PRIMARY
SIT,GLDAS,"2016,2017,2018",3,545,STRONG,True,2016-06-17,2018-11-09,1.006096524787383,0.7570388215044684,0.06753441210359162,0.06753441210359162,0.6823633461010206,0.46561973610218116,POOLED_RAW_EXTRACTIONS,PRIMARY
SIT,MERRA2,"2016,2017,2018",3,545,STRONG,True,2016-06-17,2018-11-09,1.295439519949547,0.9979229433173332,-0.3756365823988675,0.3756365823988675,0.6758063124778847,0.45671417198495634,POOLED_RAW_EXTRACTIONS,PRIMARY
SIT,MOD16A2GF,"2016,2017,2018",3,70,STRONG,True,2016-06-17,2018-11-09,10.84876605609272,8.329244950279625,8.262487873702142,8.262487873702142,0.6597761486615882,0.4353045663427181,POOLED_RAW_EXTRACTIONS,PRIMARY
SIT,PMLV2,"2016,2017,2018",3,70,STRONG,True,2016-06-17,2018-11-09,1.1674231643928001,0.7998858520809524,-0.07390739438571418,0.07390739438571418,0.5613882379225522,0.3151567536777881,POOLED_RAW_EXTRACTIONS,PRIMARY
SIT,SSEBOP_V61,"2017,2018",2,16,ADEQUATE,True,2017-07-01,2018-10-01,27.30643349087205,23.0814975089375,-10.406464984812501,10.406464984812501,0.6002576489582637,0.3603092451329022,POOLED_RAW_EXTRACTIONS,PRIMARY
UIT,ERA5-LAND,"2016,2017",2,731,STRONG,True,2016-01-01,2017-12-31,2.0153874036215598,1.3896234779506713,-1.2799650221933914,1.2799650221933914,0.4290606988579148,0.18409308330444227,POOLED_RAW_EXTRACTIONS,PRIMARY
UIT,FLDAS,"2016,2017",2,24,ADEQUATE,True,2016-01-01,2017-12-01,2.2751333216161336,1.6744000398378371,-1.0783853751012449,1.0783853751012449,0.2045299710465456,0.04183250905630078,POOLED_RAW_EXTRACTIONS,PRIMARY
UIT,GLDAS,"2016,2017",2,731,STRONG,True,2016-01-01,2017-12-31,2.787701345855444,2.1902476317668373,-2.146251460292562,2.146251460292562,0.19520559191145212,0.03810522311350038,POOLED_RAW_EXTRACTIONS,PRIMARY
UIT,MERRA2,"2016,2017",2,731,STRONG,True,2016-01-01,2017-12-31,2.390241470033389,1.826665483380164,-1.2812640277699583,1.2812640277699583,0.38378692415523885,0.14729240315253905,POOLED_RAW_EXTRACTIONS,PRIMARY
UIT,MOD16A2GF,"2016,2017",2,92,STRONG,True,2016-01-01,2017-12-27,7.516791194158329,5.227670395631111,2.9079926771296636,2.9079926771296636,0.10907875942755331,0.01189817575825405,POOLED_RAW_EXTRACTIONS,PRIMARY
UIT,PMLV2,"2016,2017",2,92,STRONG,True,2016-01-01,2017-12-27,2.1580616626965843,1.6623308271084951,-1.6036168433880984,1.6036168433880984,0.5345640282953537,0.2857587003473557,POOLED_RAW_EXTRACTIONS,PRIMARY
UIT,SSEBOP_V61,"2016,2017",2,24,ADEQUATE,True,2016-01-01,2017-12-01,65.9554363641383,53.161000325833335,-52.931769379083335,52.931769379083335,0.4167471953436704,0.17367822482681536,POOLED_RAW_EXTRACTIONS,PRIMARY
