Product,Site,Year,N,N_CATEGORY,STATUS
MERRA2,BFT,2017,143,STRONG,BENCHMARKED
MERRA2,BFT,2018,298,STRONG,BENCHMARKED
MERRA2,BIT,2016,210,STRONG,BENCHMARKED
MERRA2,BIT,2017,301,STRONG,BENCHMARKED
MERRA2,BKC,2014,204,STRONG,BENCHMARKED
MERRA2,BKC,2015,297,STRONG,BENCHMARKED
MERRA2,BKC,2016,64,STRONG,BENCHMARKED
MERRA2,DIT,2016,366,STRONG,BENCHMARKED
MERRA2,DIT,2017,365,STRONG,BENCHMARKED
MERRA2,JIT,2016,184,STRONG,BENCHMARKED
MERRA2,JIT,2017,272,STRONG,BENCHMARKED
MERRA2,JIT,2018,284,STRONG,BENCHMARKED
MERRA2,KKM,2014,350,STRONG,BENCHMARKED
MERRA2,KKM,2015,365,STRONG,BENCHMARKED
MERRA2,KKM,2016,366,STRONG,BENCHMARKED
MERRA2,KNP,2016,366,STRONG,BENCHMARKED
MERRA2,KNP,2017,296,STRONG,BENCHMARKED
MERRA2,KNP,2018,365,STRONG,BENCHMARKED
MERRA2,NIT,2016,160,STRONG,BENCHMARKED
MERRA2,NIT,2017,226,STRONG,BENCHMARKED
MERRA2,NIT,2018,313,STRONG,BENCHMARKED
MERRA2,PVM,2017,92,STRONG,BENCHMARKED
MERRA2,SFT,2014,365,STRONG,BENCHMARKED
MERRA2,SFT,2015,365,STRONG,BENCHMARKED
MERRA2,SFT,2016,91,STRONG,BENCHMARKED
MERRA2,SIT,2016,10,ADEQUATE,BENCHMARKED
MERRA2,SIT,2017,222,STRONG,BENCHMARKED
MERRA2,SIT,2018,313,STRONG,BENCHMARKED
MERRA2,UIT,2016,366,STRONG,BENCHMARKED
MERRA2,UIT,2017,365,STRONG,BENCHMARKED
MOD16A2GF,BFT,2016,46,STRONG,BENCHMARKED
MOD16A2GF,BFT,2017,18,ADEQUATE,BENCHMARKED
MOD16A2GF,BFT,2018,38,STRONG,BENCHMARKED
MOD16A2GF,BIT,2016,26,ADEQUATE,BENCHMARKED
MOD16A2GF,BIT,2017,38,STRONG,BENCHMARKED
MOD16A2GF,BKC,2014,25,ADEQUATE,BENCHMARKED
MOD16A2GF,BKC,2015,38,STRONG,BENCHMARKED
MOD16A2GF,BKC,2016,8,LIMITED,BENCHMARKED
MOD16A2GF,DIT,2016,46,STRONG,BENCHMARKED
MOD16A2GF,DIT,2017,46,STRONG,BENCHMARKED
MOD16A2GF,JIT,2016,23,ADEQUATE,BENCHMARKED
MOD16A2GF,JIT,2017,34,STRONG,BENCHMARKED
MOD16A2GF,JIT,2018,36,STRONG,BENCHMARKED
MOD16A2GF,KKM,2014,44,STRONG,BENCHMARKED
MOD16A2GF,KKM,2015,46,STRONG,BENCHMARKED
MOD16A2GF,KKM,2016,46,STRONG,BENCHMARKED
MOD16A2GF,KNP,2016,46,STRONG,BENCHMARKED
MOD16A2GF,KNP,2017,38,STRONG,BENCHMARKED
MOD16A2GF,KNP,2018,46,STRONG,BENCHMARKED
MOD16A2GF,NIT,2016,20,ADEQUATE,BENCHMARKED
MOD16A2GF,NIT,2017,28,ADEQUATE,BENCHMARKED
MOD16A2GF,NIT,2018,40,STRONG,BENCHMARKED
MOD16A2GF,PVM,2017,11,ADEQUATE,BENCHMARKED
MOD16A2GF,SIT,2016,2,INSUFFICIENT,BENCHMARKED
MOD16A2GF,SIT,2017,28,ADEQUATE,BENCHMARKED
MOD16A2GF,SIT,2018,40,STRONG,BENCHMARKED
MOD16A2GF,UIT,2016,46,STRONG,BENCHMARKED
MOD16A2GF,UIT,2017,46,STRONG,BENCHMARKED
PMLV2,BFT,2016,46,STRONG,BENCHMARKED
PMLV2,BFT,2017,18,ADEQUATE,BENCHMARKED
PMLV2,BFT,2018,38,STRONG,BENCHMARKED
PMLV2,BIT,2016,26,ADEQUATE,BENCHMARKED
PMLV2,BIT,2017,38,STRONG,BENCHMARKED
PMLV2,BKC,2014,25,ADEQUATE,BENCHMARKED
PMLV2,BKC,2015,38,STRONG,BENCHMARKED
PMLV2,BKC,2016,8,LIMITED,BENCHMARKED
PMLV2,DIT,2016,46,STRONG,BENCHMARKED
PMLV2,DIT,2017,46,STRONG,BENCHMARKED
PMLV2,JIT,2016,23,ADEQUATE,BENCHMARKED
PMLV2,JIT,2017,34,STRONG,BENCHMARKED
PMLV2,JIT,2018,36,STRONG,BENCHMARKED
PMLV2,KKM,2014,44,STRONG,BENCHMARKED
PMLV2,KKM,2015,46,STRONG,BENCHMARKED
PMLV2,KKM,2016,46,STRONG,BENCHMARKED
PMLV2,KNP,2016,46,STRONG,BENCHMARKED
PMLV2,KNP,2017,38,STRONG,BENCHMARKED
PMLV2,KNP,2018,46,STRONG,BENCHMARKED
PMLV2,NIT,2016,20,ADEQUATE,BENCHMARKED
PMLV2,NIT,2017,28,ADEQUATE,BENCHMARKED
PMLV2,NIT,2018,40,STRONG,BENCHMARKED
PMLV2,PVM,2017,11,ADEQUATE,BENCHMARKED
PMLV2,SFT,2014,46,STRONG,BENCHMARKED
PMLV2,SFT,2015,46,STRONG,BENCHMARKED
PMLV2,SFT,2016,12,ADEQUATE,BENCHMARKED
PMLV2,SIT,2016,2,INSUFFICIENT,BENCHMARKED
PMLV2,SIT,2017,28,ADEQUATE,BENCHMARKED
PMLV2,SIT,2018,40,STRONG,BENCHMARKED
PMLV2,UIT,2016,46,STRONG,BENCHMARKED
PMLV2,UIT,2017,46,STRONG,BENCHMARKED
SSEBOP_V61,BKC,2014,6,LIMITED,BENCHMARKED
SSEBOP_V61,BKC,2015,9,LIMITED,BENCHMARKED
SSEBOP_V61,BKC,2016,2,INSUFFICIENT,BENCHMARKED
SSEBOP_V61,JIT,2016,5,LIMITED,BENCHMARKED
SSEBOP_V61,JIT,2017,9,LIMITED,BENCHMARKED
SSEBOP_V61,JIT,2018,9,LIMITED,BENCHMARKED
SSEBOP_V61,KKM,2014,11,ADEQUATE,BENCHMARKED
SSEBOP_V61,KKM,2015,12,ADEQUATE,BENCHMARKED
SSEBOP_V61,KKM,2016,12,ADEQUATE,BENCHMARKED
SSEBOP_V61,SIT,2016,0,INSUFFICIENT,NO_VALID_OVERLAP
SSEBOP_V61,SIT,2017,6,LIMITED,BENCHMARKED
SSEBOP_V61,SIT,2018,10,ADEQUATE,BENCHMARKED
SSEBOP_V61,UIT,2016,12,ADEQUATE,BENCHMARKED
SSEBOP_V61,UIT,2017,12,ADEQUATE,BENCHMARKED
