Site,Product,Year,N,Start,End,RMSE,MAE,BIAS,CORRELATION,R2,STATUS,SOURCE_LAYER,N_CATEGORY,N_SUFFICIENT,ABS_BIAS,INTERPRETATION
JIT,ERA5-LAND,2016,184,2016-06-21,2016-12-21,1.0699552209645005,0.6793696815251167,-0.1789489578619559,0.5170154394881175,0.2673049646690912,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.1789489578619559,ELIGIBLE_FOR_PRIMARY_COMPARISON
JIT,ERA5-LAND,2017,272,2017-04-04,2017-12-31,0.9634891027683914,0.495929372392157,-0.1830987916539428,0.704074623866503,0.4957210759727576,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.1830987916539428,ELIGIBLE_FOR_PRIMARY_COMPARISON
JIT,ERA5-LAND,2018,284,2018-01-01,2018-10-11,1.0532189046182707,0.8087985694499766,-0.5352951766465732,0.286364439196958,0.0820045920365882,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.5352951766465732,ELIGIBLE_FOR_PRIMARY_COMPARISON
KKM,ERA5-LAND,2014,350,2014-01-16,2014-12-31,0.7004750279329757,0.5374732973223648,0.0460456411828932,0.7961566731654834,0.6338654482259304,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.0460456411828932,ELIGIBLE_FOR_PRIMARY_COMPARISON
KKM,ERA5-LAND,2015,365,2015-01-01,2015-12-31,0.883996329170441,0.657204946199107,0.1817336406462709,0.7167705219272237,0.5137599811038246,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.1817336406462709,ELIGIBLE_FOR_PRIMARY_COMPARISON
KKM,ERA5-LAND,2016,366,2016-01-01,2016-12-31,0.8944921597154282,0.644633605742889,0.1655420052909314,0.745098787053987,0.5551722024693228,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.1655420052909314,ELIGIBLE_FOR_PRIMARY_COMPARISON
KNP,ERA5-LAND,2016,366,2016-01-01,2016-12-31,0.8565687825617306,0.6902435583596472,-0.0469963592223615,0.7940044687936673,0.6304430964643137,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.0469963592223615,ELIGIBLE_FOR_PRIMARY_COMPARISON
KNP,ERA5-LAND,2017,296,2017-01-01,2017-12-31,0.8814448890683123,0.7015952206201905,0.2464558855938167,0.8188715610448873,0.6705506334880906,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.2464558855938167,ELIGIBLE_FOR_PRIMARY_COMPARISON
KNP,ERA5-LAND,2018,365,2018-01-01,2018-12-31,1.0418338389079085,0.874106634852238,0.8307333339337278,0.8206127193227761,0.6734052351143214,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.8307333339337278,ELIGIBLE_FOR_PRIMARY_COMPARISON
NIT,ERA5-LAND,2016,160,2016-06-22,2016-11-28,0.9695725762656984,0.7937121053809362,-0.3682149077153972,0.6483885465926831,0.4204077073525719,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.3682149077153972,ELIGIBLE_FOR_PRIMARY_COMPARISON
NIT,ERA5-LAND,2017,226,2017-05-20,2017-12-31,1.7295321831207495,1.2313076150017557,-0.3938360708638101,0.4349371345494077,0.1891703110100495,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.3938360708638101,ELIGIBLE_FOR_PRIMARY_COMPARISON
NIT,ERA5-LAND,2018,313,2018-01-01,2018-11-09,1.11392963125128,0.8843748974664158,-0.8324020654418762,0.7792730513167734,0.6072664885085545,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.8324020654418762,ELIGIBLE_FOR_PRIMARY_COMPARISON
SFT,ERA5-LAND,2014,365,2014-01-01,2014-12-31,1.6310720422862035,1.1922404325202678,-0.2105469862018157,0.4584381442088797,0.2101655320656816,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.2105469862018157,ELIGIBLE_FOR_PRIMARY_COMPARISON
SFT,ERA5-LAND,2015,365,2015-01-01,2015-12-31,1.7326084823811494,1.3032469188254072,-0.0917878979836036,0.3175874800783599,0.1008618075025226,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.0917878979836036,ELIGIBLE_FOR_PRIMARY_COMPARISON
SFT,ERA5-LAND,2016,91,2016-01-01,2016-03-31,1.207716684309028,0.9718462297430857,-0.3399339743743889,0.0473316829853507,0.0022402882142257,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.3399339743743889,ELIGIBLE_FOR_PRIMARY_COMPARISON
SIT,ERA5-LAND,2016,10,2016-06-17,2016-12-31,0.5098685859311499,0.4736755872746494,0.4190149743230777,0.9775189799344296,0.9555433561320478,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.4190149743230777,ELIGIBLE_FOR_PRIMARY_COMPARISON
SIT,ERA5-LAND,2017,222,2017-01-01,2017-12-31,0.6705749039593949,0.5307605350793516,0.1073469992977415,0.884775268329187,0.7828272754469848,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.1073469992977415,ELIGIBLE_FOR_PRIMARY_COMPARISON
SIT,ERA5-LAND,2018,313,2018-01-01,2018-11-09,1.250326031871508,0.959428689808108,0.0838442652866698,0.4038445510591527,0.1630904214201685,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.0838442652866698,ELIGIBLE_FOR_PRIMARY_COMPARISON
UIT,ERA5-LAND,2016,366,2016-01-01,2016-12-31,1.964538216293517,1.3809348576948484,-1.2339584559065524,0.4805047686846881,0.2308848327287256,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,1.2339584559065524,ELIGIBLE_FOR_PRIMARY_COMPARISON
UIT,ERA5-LAND,2017,365,2017-01-01,2017-12-31,2.0651190824802885,1.3983359026455515,-1.3260976338673174,0.366768529816096,0.1345191544634605,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,1.3260976338673174,ELIGIBLE_FOR_PRIMARY_COMPARISON
BFT,FLDAS,2016,12,2016-01-01,2016-12-01,2.480923524235043,2.099153564770229,-2.054316493106876,0.8382796455692486,0.702712764175705,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,2.054316493106876,ELIGIBLE_FOR_PRIMARY_COMPARISON
BFT,FLDAS,2017,5,2017-01-01,2017-05-01,2.6243749102948453,2.161070566906321,-2.161070566906321,0.9353462035348882,0.8748725204671285,BENCHMARKED,GEE_COMMON_YEAR,LIMITED,False,2.161070566906321,REFERENCE_ONLY
BFT,FLDAS,2018,10,2018-01-01,2018-10-01,3.936187415504431,3.29403591107531,-2.888118182210571,0.8153150163059695,0.6647385758140033,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,2.888118182210571,ELIGIBLE_FOR_PRIMARY_COMPARISON
BIT,FLDAS,2016,7,2016-01-01,2016-12-01,0.4961997604396646,0.4405866466140348,-0.0937305725500525,0.7684336750389856,0.5904903129339214,BENCHMARKED,GEE_COMMON_YEAR,LIMITED,False,0.0937305725500525,REFERENCE_ONLY
BIT,FLDAS,2017,10,2017-01-01,2017-12-01,1.328502432038063,1.1315640890012086,-0.2024782725165696,0.4703850597449485,0.2212621044312588,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.2024782725165696,ELIGIBLE_FOR_PRIMARY_COMPARISON
BKC,FLDAS,2014,6,2014-07-01,2014-12-01,2.013465065055145,1.5415306539476814,1.5103908220229465,0.4430171244598375,0.1962641725646632,BENCHMARKED,GEE_COMMON_YEAR,LIMITED,False,1.5103908220229465,REFERENCE_ONLY
BKC,FLDAS,2015,10,2015-01-01,2015-12-01,0.9873244878862368,0.8166954667305841,0.6982341355247546,0.8994680225161721,0.8090427235291531,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.6982341355247546,ELIGIBLE_FOR_PRIMARY_COMPARISON
BKC,FLDAS,2016,3,2016-01-01,2016-03-01,0.2274504198845545,0.2037547605152707,0.1525156568873537,0.2039619931114444,0.0416004946339929,BENCHMARKED,GEE_COMMON_YEAR,INSUFFICIENT,False,0.1525156568873537,REFERENCE_ONLY
DIT,FLDAS,2016,12,2016-01-01,2016-12-01,1.3797443211616855,1.1090675403500312,-0.9195704332336084,0.8431595165011913,0.7109179702665226,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.9195704332336084,ELIGIBLE_FOR_PRIMARY_COMPARISON
DIT,FLDAS,2017,12,2017-01-01,2017-12-01,0.9807112731672528,0.8333992000660729,-0.8333992000660729,0.9059760428984924,0.8207925903060111,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.8333992000660729,ELIGIBLE_FOR_PRIMARY_COMPARISON
JIT,FLDAS,2016,6,2016-07-01,2016-12-01,1.8709926974314264,1.3598814062562898,0.2309051867814563,-0.1357847369647335,0.0184374947925818,BENCHMARKED,GEE_COMMON_YEAR,LIMITED,False,0.2309051867814563,REFERENCE_ONLY
JIT,FLDAS,2017,8,2017-05-01,2017-12-01,1.082195721010248,0.7931692157522389,-0.0634320298353409,0.6395005240946074,0.4089609203172776,BENCHMARKED,GEE_COMMON_YEAR,LIMITED,False,0.0634320298353409,REFERENCE_ONLY
JIT,FLDAS,2018,10,2018-01-01,2018-10-01,0.9293167223725902,0.6739639384224352,-0.2941385097938205,0.3945894107150666,0.1557008030484635,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.2941385097938205,ELIGIBLE_FOR_PRIMARY_COMPARISON
KKM,FLDAS,2014,11,2014-02-01,2014-12-01,1.813048426170408,1.6052250854142918,1.513752752243381,0.6421094590419072,0.4123045573910907,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,1.513752752243381,ELIGIBLE_FOR_PRIMARY_COMPARISON
KKM,FLDAS,2015,12,2015-01-01,2015-12-01,1.575858958529506,1.4356023570263208,1.120505677819893,0.6755641144989818,0.4563868727987933,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,1.120505677819893,ELIGIBLE_FOR_PRIMARY_COMPARISON
KKM,FLDAS,2016,12,2016-01-01,2016-12-01,1.5309463912149148,1.3661890015413305,1.323035339063777,0.7945078218008467,0.6312426789027259,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,1.323035339063777,ELIGIBLE_FOR_PRIMARY_COMPARISON
KNP,FLDAS,2016,12,2016-01-01,2016-12-01,1.837601758824413,1.223547613789066,0.9368609279595844,0.4361927181646242,0.1902640873798432,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.9368609279595844,ELIGIBLE_FOR_PRIMARY_COMPARISON
KNP,FLDAS,2017,10,2017-01-01,2017-12-01,2.05706710330594,1.6315334625409794,1.6315334625409794,0.4709827113094825,0.2218247143524313,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,1.6315334625409794,ELIGIBLE_FOR_PRIMARY_COMPARISON
KNP,FLDAS,2018,12,2018-01-01,2018-12-01,1.6033547230571203,1.3359888671580036,1.3359888671580036,0.7432246870353374,0.5523829354187753,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,1.3359888671580036,ELIGIBLE_FOR_PRIMARY_COMPARISON
NIT,FLDAS,2016,5,2016-07-01,2016-11-01,1.2438471482022904,1.2223228511686814,0.7063358230856478,0.7415243311687005,0.5498583337151887,BENCHMARKED,GEE_COMMON_YEAR,LIMITED,False,0.7063358230856478,REFERENCE_ONLY
NIT,FLDAS,2017,7,2017-06-01,2017-12-01,1.6035104902544517,1.3896350045605863,-0.4581470014905995,0.6733191603254962,0.4533586916614313,BENCHMARKED,GEE_COMMON_YEAR,LIMITED,False,0.4581470014905995,REFERENCE_ONLY
NIT,FLDAS,2018,11,2018-01-01,2018-11-01,1.2657141810053645,1.010624051448176,-0.5250782181836832,0.7635083176245524,0.5829449510818744,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.5250782181836832,ELIGIBLE_FOR_PRIMARY_COMPARISON
SFT,FLDAS,2014,12,2014-01-01,2014-12-01,1.7986731615819938,1.2941057222701269,-0.1896103888859404,0.4833118462747893,0.2335903407495455,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.1896103888859404,ELIGIBLE_FOR_PRIMARY_COMPARISON
SFT,FLDAS,2015,12,2015-01-01,2015-12-01,1.6681532265731205,1.042168272811771,-0.2002617185346214,0.5259173335835641,0.2765890417636458,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.2002617185346214,ELIGIBLE_FOR_PRIMARY_COMPARISON
SFT,FLDAS,2016,3,2016-01-01,2016-03-01,0.9615862784300588,0.9025476075356132,-0.9025476075356132,0.88804130617228,0.7886173614681693,BENCHMARKED,GEE_COMMON_YEAR,INSUFFICIENT,False,0.9025476075356132,REFERENCE_ONLY
SIT,FLDAS,2017,7,2017-01-01,2017-12-01,1.2710643080293955,1.0754090314949405,0.9529092987669844,0.8409782049440742,0.7072443411909572,BENCHMARKED,GEE_COMMON_YEAR,LIMITED,False,0.9529092987669844,REFERENCE_ONLY
SIT,FLDAS,2018,11,2018-01-01,2018-11-01,1.2901095548630843,1.0201195255864624,0.1641738596135427,0.6024194602572416,0.3629092060966262,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.1641738596135427,ELIGIBLE_FOR_PRIMARY_COMPARISON
UIT,FLDAS,2016,12,2016-01-01,2016-12-01,2.2662771071196524,1.5657807660157204,-1.1828543169095111,0.32624205585279,0.1064338790070549,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,1.1828543169095111,ELIGIBLE_FOR_PRIMARY_COMPARISON
UIT,FLDAS,2017,12,2017-01-01,2017-12-01,2.283955195707985,1.7830193136599533,-0.9739164332929788,0.0614000195214819,0.0037699623972383,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.9739164332929788,ELIGIBLE_FOR_PRIMARY_COMPARISON
BFT,GLDAS,2016,366,2016-01-01,2016-12-31,3.34373822676097,2.8778837060317763,-2.872077173199142,0.8255939671219078,0.6816053985480898,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,2.872077173199142,ELIGIBLE_FOR_PRIMARY_COMPARISON
BFT,GLDAS,2017,143,2017-01-01,2017-05-23,2.2281278644270577,1.8591822743525328,-1.8591822743525328,0.8334496900252356,0.6946383858031613,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,1.8591822743525328,ELIGIBLE_FOR_PRIMARY_COMPARISON
BFT,GLDAS,2018,298,2018-01-01,2018-12-31,4.0823854574131895,3.4594296837644483,-3.4594296837644483,0.8321526696484933,0.6924780656031144,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,3.4594296837644483,ELIGIBLE_FOR_PRIMARY_COMPARISON
BIT,GLDAS,2016,210,2016-01-01,2016-12-31,1.122144213775877,0.9033468670139853,0.1977044814970497,0.2973426540581401,0.0884126539223388,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.1977044814970497,ELIGIBLE_FOR_PRIMARY_COMPARISON
BIT,GLDAS,2017,301,2017-01-01,2017-12-31,1.3129636326996534,1.0629100826342457,0.0084738403300242,0.5382435687874716,0.2897061393410736,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.0084738403300242,ELIGIBLE_FOR_PRIMARY_COMPARISON
BKC,GLDAS,2014,204,2014-06-11,2014-12-31,0.8300912364431902,0.5947359698956415,0.344523666261681,0.7232752168802646,0.5231270393531938,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.344523666261681,ELIGIBLE_FOR_PRIMARY_COMPARISON
BKC,GLDAS,2015,297,2015-01-01,2015-12-31,0.7807231106223411,0.6220054707396938,0.2879904572916378,0.806336845238363,0.6501791079889558,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.2879904572916378,ELIGIBLE_FOR_PRIMARY_COMPARISON
BKC,GLDAS,2016,64,2016-01-01,2016-03-04,0.2118206095578638,0.1710703499304922,-0.0572437924595083,0.6043948580271721,0.3652931444096854,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.0572437924595083,ELIGIBLE_FOR_PRIMARY_COMPARISON
DIT,GLDAS,2016,366,2016-01-01,2016-12-31,1.1269167768103874,0.8235714763093356,0.1265307888718922,0.6932611599654075,0.4806110359165823,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.1265307888718922,ELIGIBLE_FOR_PRIMARY_COMPARISON
DIT,GLDAS,2017,365,2017-01-01,2017-12-31,1.0557973901340063,0.8330557301163836,-0.0546543919420771,0.6394749628309346,0.4089282280876252,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.0546543919420771,ELIGIBLE_FOR_PRIMARY_COMPARISON
JIT,GLDAS,2016,184,2016-06-21,2016-12-21,1.0245615338015197,0.6244804080864531,-0.413880728279061,0.4391879463788812,0.1928860522444991,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.413880728279061,ELIGIBLE_FOR_PRIMARY_COMPARISON
JIT,GLDAS,2017,272,2017-04-04,2017-12-31,1.1868362983766256,0.6533039841977515,-0.5201894569676836,0.5822789952632927,0.3390488283248297,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.5201894569676836,ELIGIBLE_FOR_PRIMARY_COMPARISON
JIT,GLDAS,2018,284,2018-01-01,2018-10-11,1.005420381836799,0.7661832110164974,-0.7407242009814796,-0.0278493079384122,0.0007755839526485,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.7407242009814796,ELIGIBLE_FOR_PRIMARY_COMPARISON
KKM,GLDAS,2014,350,2014-01-16,2014-12-31,1.2435081739610774,1.0263308954006591,-0.9780380830625356,0.7552049317766077,0.5703344889797107,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.9780380830625356,ELIGIBLE_FOR_PRIMARY_COMPARISON
KKM,GLDAS,2015,365,2015-01-01,2015-12-31,1.5140320459313787,1.2158122730526664,-1.18295120009873,0.6452100456485833,0.4162960030058469,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,1.18295120009873,ELIGIBLE_FOR_PRIMARY_COMPARISON
KKM,GLDAS,2016,366,2016-01-01,2016-12-31,1.573160064351712,1.2266821788687403,-1.1380582364286786,0.6143445609663915,0.3774192395889882,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,1.1380582364286786,ELIGIBLE_FOR_PRIMARY_COMPARISON
KNP,GLDAS,2016,366,2016-01-01,2016-12-31,1.298216416504704,1.0784651017011953,0.5584051560764582,0.7013458393000299,0.4918859863034633,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.5584051560764582,ELIGIBLE_FOR_PRIMARY_COMPARISON
KNP,GLDAS,2017,296,2017-01-01,2017-12-31,1.361292654104666,1.1382492225893068,0.7451680003591996,0.6899712209180867,0.4760602856951952,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.7451680003591996,ELIGIBLE_FOR_PRIMARY_COMPARISON
KNP,GLDAS,2018,365,2018-01-01,2018-12-31,1.7536117977463288,1.4581756929733125,1.4330549374926294,0.7586181279469822,0.575501464049784,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,1.4330549374926294,ELIGIBLE_FOR_PRIMARY_COMPARISON
NIT,GLDAS,2016,160,2016-06-22,2016-11-28,1.2594195651194915,1.018460106223168,-0.8355692679593139,0.5951370377963577,0.3541880937570233,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.8355692679593139,ELIGIBLE_FOR_PRIMARY_COMPARISON
NIT,GLDAS,2017,226,2017-05-20,2017-12-31,1.9384676547114843,1.4724714716565592,-0.2011998923009697,0.2962853705239711,0.0877850207865268,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.2011998923009697,ELIGIBLE_FOR_PRIMARY_COMPARISON
NIT,GLDAS,2018,313,2018-01-01,2018-11-09,1.1238843115910782,0.8625959836349129,-0.7987074754747673,0.7273870843386001,0.5290919704626097,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.7987074754747673,ELIGIBLE_FOR_PRIMARY_COMPARISON
SFT,GLDAS,2014,365,2014-01-01,2014-12-31,1.5625238957192051,1.251306809227981,0.0277284613220562,0.5837751946433813,0.3407934778809178,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.0277284613220562,ELIGIBLE_FOR_PRIMARY_COMPARISON
SFT,GLDAS,2015,365,2015-01-01,2015-12-31,1.5255022073142996,1.1938749725286186,0.2254006974077088,0.5836147744724067,0.3406062049824782,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.2254006974077088,ELIGIBLE_FOR_PRIMARY_COMPARISON
SFT,GLDAS,2016,91,2016-01-01,2016-03-31,1.0290785688403978,0.7918359039469874,-0.4712864455608204,-0.0758332235610951,0.005750677795667,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.4712864455608204,ELIGIBLE_FOR_PRIMARY_COMPARISON
SIT,GLDAS,2016,10,2016-06-17,2016-12-31,0.7409452969828532,0.6962506645002993,0.2698776859328846,0.9158478624352268,0.838777307127174,BENCHMARKED,GEE_COMMON_YEAR,ADEQUATE,True,0.2698776859328846,ELIGIBLE_FOR_PRIMARY_COMPARISON
SIT,GLDAS,2017,222,2017-01-01,2017-12-31,0.9673629819277536,0.7994431334157112,0.2205575602147693,0.7603898805017986,0.5781927703695395,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.2205575602147693,ELIGIBLE_FOR_PRIMARY_COMPARISON
SIT,GLDAS,2018,313,2018-01-01,2018-11-09,1.0398295452326236,0.7289050334078097,-0.0474642192669336,0.6049485638958085,0.3659627649596011,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.0474642192669336,ELIGIBLE_FOR_PRIMARY_COMPARISON
UIT,GLDAS,2016,366,2016-01-01,2016-12-31,2.5251837162616537,1.9506152126812557,-1.8729561669901595,0.3566050659643767,0.1271671730714575,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,1.8729561669901595,ELIGIBLE_FOR_PRIMARY_COMPARISON
UIT,GLDAS,2017,365,2017-01-01,2017-12-31,3.0281720482163963,2.4305365780279957,-2.4202955078231905,-0.0183135322607798,0.0003353854638666,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,2.4202955078231905,ELIGIBLE_FOR_PRIMARY_COMPARISON
BFT,MERRA2,2016,366,2016-01-01,2016-12-31,3.583927260464149,3.109924260518547,-3.086293022558564,0.7695150700300495,0.5921534430033519,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,3.086293022558564,ELIGIBLE_FOR_PRIMARY_COMPARISON
BFT,MERRA2,2017,143,2017-01-01,2017-05-23,3.184411317279203,2.733838916979187,-2.733838916979187,0.1639338711663055,0.0268743141155708,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,2.733838916979187,ELIGIBLE_FOR_PRIMARY_COMPARISON
BFT,MERRA2,2018,298,2018-01-01,2018-12-31,3.814719550849069,3.3340898172162547,-3.3048776452508,0.8418770962698521,0.7087570452237578,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,3.3048776452508,ELIGIBLE_FOR_PRIMARY_COMPARISON
BIT,MERRA2,2016,210,2016-01-01,2016-12-31,1.2937160885190933,1.0259785303635875,-0.9803211230177244,0.612846079776652,0.3755803174976104,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.9803211230177244,ELIGIBLE_FOR_PRIMARY_COMPARISON
BIT,MERRA2,2017,301,2017-01-01,2017-12-31,1.3642962963607326,1.1267225556709617,-0.5252867408826339,0.5302585541392562,0.2811741342378545,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.5252867408826339,ELIGIBLE_FOR_PRIMARY_COMPARISON
BKC,MERRA2,2014,204,2014-06-11,2014-12-31,1.801462417315264,1.363942802613414,1.1457937516346433,0.5910941941535965,0.3493923463620896,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,1.1457937516346433,ELIGIBLE_FOR_PRIMARY_COMPARISON
BKC,MERRA2,2015,297,2015-01-01,2015-12-31,1.463523615545096,1.132471378490986,0.8959401971364263,0.8329136936328169,0.693745221041062,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.8959401971364263,ELIGIBLE_FOR_PRIMARY_COMPARISON
BKC,MERRA2,2016,64,2016-01-01,2016-03-04,0.2848221289292597,0.2454565465851033,-0.2317611506830358,0.8053350717566902,0.6485645778013533,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.2317611506830358,ELIGIBLE_FOR_PRIMARY_COMPARISON
DIT,MERRA2,2016,366,2016-01-01,2016-12-31,0.9619044926929584,0.7987898350147924,-0.4089748441280726,0.8608978852759985,0.7411451688726863,BENCHMARKED,GEE_COMMON_YEAR,STRONG,True,0.4089748441280726,ELIGIBLE_FOR_PRIMARY_COMPARISON
