Product,Series,Month,Z
FLDAS,Product,9,1.3652067788676057
FLDAS,Product,10,0.6417706667893526
FLDAS,Product,11,-0.4126443170316077
FLDAS,Product,12,-0.8097514991884428
GLDAS,Observed,1,-0.8964984028719686
GLDAS,Observed,2,-0.7879887528722718
GLDAS,Observed,3,-0.530551829304725
GLDAS,Observed,4,-0.1530350001792879
GLDAS,Observed,5,-0.24525389712730786
GLDAS,Observed,6,0.2581675198285843
GLDAS,Observed,7,0.8222469658169109
GLDAS,Observed,8,0.9011203084197681
GLDAS,Observed,9,0.9368520568426122
GLDAS,Observed,10,0.18530314252767088
GLDAS,Observed,11,-0.3881888977105116
GLDAS,Observed,12,-0.8173832031290683
GLDAS,Product,1,-0.660210617821637
GLDAS,Product,2,-0.7123647259677227
GLDAS,Product,3,-0.6782593911357561
GLDAS,Product,4,-0.8174772730020232
GLDAS,Product,5,-0.7385056419905878
GLDAS,Product,6,-0.09042577709955961
GLDAS,Product,7,0.42900689206629833
GLDAS,Product,8,1.0088629477913227
GLDAS,Product,9,1.1650027005101926
GLDAS,Product,10,0.6386105963180949
GLDAS,Product,11,-0.07835024046690332
GLDAS,Product,12,-0.43528163577718865
MERRA2,Observed,1,-0.8964984028719686
MERRA2,Observed,2,-0.7879887528722718
MERRA2,Observed,3,-0.530551829304725
MERRA2,Observed,4,-0.1530350001792879
MERRA2,Observed,5,-0.24525389712730786
MERRA2,Observed,6,0.2581675198285843
MERRA2,Observed,7,0.8222469658169109
MERRA2,Observed,8,0.9011203084197681
MERRA2,Observed,9,0.9368520568426122
MERRA2,Observed,10,0.25076905903749624
MERRA2,Observed,11,-0.3830141941126155
MERRA2,Observed,12,-0.7895743556064637
MERRA2,Product,1,-0.8403106733836635
MERRA2,Product,2,-0.9217547573219842
MERRA2,Product,3,-0.745440408095814
MERRA2,Product,4,-0.6646317940148073
MERRA2,Product,5,-0.4326875841210977
MERRA2,Product,6,0.2331431129196056
MERRA2,Product,7,0.8311055951356532
MERRA2,Product,8,1.2397621365340044
MERRA2,Product,9,1.2406903752662333
MERRA2,Product,10,0.4247346114312255
MERRA2,Product,11,-0.30458430257181496
MERRA2,Product,12,-0.7283442744493278
MOD16A2GF,Observed,1,-0.9489556154689525
MOD16A2GF,Observed,2,-0.7560035596286327
MOD16A2GF,Observed,3,-0.5210164339987973
MOD16A2GF,Observed,4,-0.09007303924967015
MOD16A2GF,Observed,5,-0.10486735645751473
MOD16A2GF,Observed,6,0.32394081483091824
MOD16A2GF,Observed,7,0.5381223663862594
MOD16A2GF,Observed,8,0.8099140117960656
MOD16A2GF,Observed,9,0.8746698795264239
MOD16A2GF,Observed,10,0.2523008042239712
MOD16A2GF,Observed,11,-0.3766880542036573
MOD16A2GF,Observed,12,-0.7454110687223822
MOD16A2GF,Product,1,-0.49920000395595754
MOD16A2GF,Product,2,-0.6451377534164731
MOD16A2GF,Product,3,-0.7684575903969119
MOD16A2GF,Product,4,-0.8776054014918973
MOD16A2GF,Product,5,-0.8771257368238488
MOD16A2GF,Product,6,-0.4590699413613345
MOD16A2GF,Product,7,1.0912558653417028
MOD16A2GF,Product,8,1.3909162658279908
MOD16A2GF,Product,9,1.141013336868475
MOD16A2GF,Product,10,0.2578794889215552
MOD16A2GF,Product,11,-0.03342639105151115
MOD16A2GF,Product,12,-0.44149450284463215
PMLV2,Observed,1,-0.9090365097127676
PMLV2,Observed,2,-0.7220501274666268
PMLV2,Observed,3,-0.3853653355036689
PMLV2,Observed,4,-0.17774685863115783
PMLV2,Observed,5,-0.2107704936986789
PMLV2,Observed,6,0.20116410418467842
PMLV2,Observed,7,0.6357665984058676
PMLV2,Observed,8,0.832618623214401
PMLV2,Observed,9,0.9462469354170202
PMLV2,Observed,10,0.2033624983283961
PMLV2,Observed,11,-0.3094051104893473
PMLV2,Observed,12,-0.7558653568762794
PMLV2,Product,1,-1.0111571388336194
PMLV2,Product,2,-0.6889297631877459
PMLV2,Product,3,-0.3822416766982143
PMLV2,Product,4,0.10315061733634608
PMLV2,Product,5,0.887590724917138
PMLV2,Product,6,0.7404661311048161
PMLV2,Product,7,0.5455874365517444
PMLV2,Product,8,0.6208495516384878
PMLV2,Product,9,0.7940368899935458
PMLV2,Product,10,0.4509371921774591
PMLV2,Product,11,-0.6663194352597589
PMLV2,Product,12,-0.943950025152625
SSEBOP_V61,Observed,1,-1.2453872051041674
SSEBOP_V61,Observed,2,-1.0885862353177884
SSEBOP_V61,Observed,3,-0.342707416200195
SSEBOP_V61,Observed,4,0.026532963741630385
SSEBOP_V61,Observed,5,-0.1890969321376239
SSEBOP_V61,Observed,6,0.4733309826800281
SSEBOP_V61,Observed,7,1.0218114102797207
SSEBOP_V61,Observed,8,1.122457110389993
SSEBOP_V61,Observed,9,0.9510393352547984
SSEBOP_V61,Observed,10,0.19926193115323526
SSEBOP_V61,Observed,11,-0.9135012141618951
SSEBOP_V61,Observed,12,-1.437920545338528
SSEBOP_V61,Product,1,-0.8568119310824056
SSEBOP_V61,Product,2,-0.16419355460820512
SSEBOP_V61,Product,3,0.4352315133795832
SSEBOP_V61,Product,4,-0.31308365348836725
SSEBOP_V61,Product,5,-0.19282934737153842
SSEBOP_V61,Product,6,-0.6610951014488257
SSEBOP_V61,Product,7,-0.6058838184665345
SSEBOP_V61,Product,8,0.9179475918447019
SSEBOP_V61,Product,9,1.5275549708463863
SSEBOP_V61,Product,10,0.6447753276377098
SSEBOP_V61,Product,11,-0.5331659403598094
SSEBOP_V61,Product,12,-1.2175748494328922
